key	doc_count
[Bandes dessinées]	8
[Films de fiction]	8
[Manuels d'enseignement]	8
[Études diverses]	8
dissertations.	8
doctoral dissertations.	8
masters theses.	8
theses.	8
<<An>> enquiry concerning human understanding	7
Adaptations.	7
Autobiografie.	7
Autobiography	7
Belletristische Darstellung.	7
Berlin <1998>	7
Bibliographie 1984 -	7
Bibliographie 1985-	7
Bibliographie 1993	7
Bonn <1983>	7
Bonn <1989>	7
Braunschweig <1988>	7
Bremen <1998>	7
Brüssel <1996>	7
Bücheranzeige	7
CD-ROMs.	7
Catalogs and collections.	7
Chronologies.	7
Court dances (Music)	7
Current magazines.	7
Czasopismo ekologiczne.	7
Czasopismo kulturalne.	7
Czasopismo naukowe.	7
Czasopismo socjologiczne	7
Detective and mystery stories.	7
Duisburg <1996>	7
Einheitssachtiteldatei	7
Electronic books	7
Fehlermaß	7
Florenz <2002>	7
Formularbuch	7
Frankfurt <Main, 1989>	7
Frankfurt <Main, 1994>	7
Freie Schule Frankfurt	7
Führer.	7
Gelegenheitsschrift:Jubiläum	7
Geschenkbücher, Alben, Immerwährende Kalender, Postkartenbücher	7
Gesteinsmikroskopie	7
Halle <Saale, 1983>	7
Hamburg <1993>	7
Hannover <1987>	7
Hannover <1994>	7
Heidi	7
Historische Kriminalromane	7
Homenatges	7
Karlsruhe <1988>	7
Karlsruhe <1989>	7
Karlsruhe <1991>	7
Karlsruhe <1996>	7
Karlsruhe <1997>	7
Konferenz	7
Kritische Ausgabe	7
Kunststoffaser	7
Kurzgeschichte	7
Landwirtschaft	7
Libro electrónico	7
Literatura amerykańska.	7
Literatura angielska.	7
MS-DOS Version 3	7
Madrid <1988>	7
Manifest der Kommunistischen Partei	7
Mathematische Routine	7
Mustersynthese	7
Negativ	7
Netzwerkalgorithmen	7
Niedersächsisches Staatsarchiv	7
Notebooks, sketchbooks, etc.	7
Online resources.	7
Paris <1981>	7
Partnerschaftspsychologie	7
Patentgesetz	7
Pattern-Analysis	7
Phrases	7
Polonaises (Music)	7
Popular music.	7
Pressebericht	7
Printed wrappers (Binding)	7
Programm.	7
Programmstrukturierung	7
Prospekt	7
Regensburg <1988>	7
Review Literature	7
Ringbildung	7
Rotterdam <1988>	7
SPSS 7.5	7
